"company_name","senior_ds_companies"
"Walmart","391"
"Harnham","375"
"Emprego","311"
"Booz Allen Hamilton","304"
"Guidehouse","180"
"Wells Fargo","155"
"Visa","152"
"Deloitte","123"
"Citi","121"
"UnitedHealth Group","115"
"CVS Health","112"
"Verizon","106"
"Amazon","94"
"Fidelity Investments","92"
"Walgreens","90"
"Michael Page","89"
"Oracle","83"
"Target","81"
"Humana","78"
"Elevance Health","72"
"Dice","72"
"Wolt","69"
"EPAM Systems","69"
"Capgemini","68"
"NielsenIQ","68"
"EY","67"
"Jobot","65"
"Northrop Grumman","65"
"AstraZeneca","65"
"IQVIA","63"
"PwC","62"
"BairesDev","61"
"Sia Partners","61"
"Confidenziale","61"
"TikTok","58"
"Microsoft","57"
"Vesterling AG","57"
"Confidential","57"
"Syneos Health","55"
"Leidos","54"
"Etsy","54"
"myGwork","54"
"Airwallex","53"
"Bairesdev","52"
"Square","51"
"Tiger Analytics","51"
"RELX","51"
"Jobleads-UK","50"
"Peraton","50"
"VirtualVocations","50"
"Apple","50"
"CyberCoders","49"
"Robert Walters","48"
"Tesla","47"
"Jobs for Humanity","47"
"Intuit","46"
"Equifax","46"
"PepsiCo","46"
"Experian","46"
"Citizens","45"
"Johnson & Johnson","45"
"Xcede","45"
"Publicis Groupe","44"
"ClickJobs.io","43"
"Globant","43"
"WALGREENS","43"
"Cox Communications","43"
"Motion Recruitment","42"
"Sam's Club","42"
"Caterpillar","42"
"Shopify","41"
"SAIC","41"
"Roblox","40"
"2K","40"
"Capital One","40"
"J&J Family of Companies","40"
"Hays","39"
"Pfizer","38"
"Jobleads","38"
"EPAM Anywhere","38"
"Chartboost","38"
"Snowflake","37"
"Novo Nordisk","37"
"Block","37"
"ClearanceJobs","36"
"CLevelCrossing","36"
"Confidencial","36"
"BAE Systems","36"
"SoFi","36"
"CGI","36"
"ADP","35"
"PayPal","35"
"Veeva Systems","35"
"Society of Exploration Geophysicists","35"
"TIAA","35"
"Vodafone","35"
"HP","34"
"BairesDev SA","34"
"AbbVie","34"
"Insight Global","34"
"The Home Depot","34"
"Turing","33"
"Genentech","32"
"Monzo","32"
"DISH","32"
"S&P Global","32"
"Bristol Myers Squibb","32"
"dunnhumby","32"
"CVS Pharmacy","32"
"Grab","32"
"Spotify","32"
"TransUnion","32"
"Thermo Fisher Scientific","32"
"JobLeads GmbH","31"
"Crossover","31"
"BearingPoint","31"
"Randstad","30"
"Danske Bank","30"
"Atlassian","30"
"84.51Â°","30"
"IBM","30"
"Klarna","30"
"Coinbase","29"
"Resume Library","29"
"Salesforce","29"
"Archer - The IT Recruitment Consultancy","29"
"Continental","29"
"akapeople","29"
"X4 Technology","29"
"Tripadvisor","28"
"GITR","28"
"Shell","28"
"Airbnb","28"
"Barrington James","28"
"AgileEngine","28"
"Wolt Oy","28"
"Robert Half","28"
"Acxiom","28"
"Uber","27"
"Mars","27"
"JPMorgan Chase & Co.","27"
"SAP","27"
"Dish Network","26"
"FIS","26"
"Wolters Kluwer","26"
"Dell Technologies","26"
"Vinted","26"
"STR","26"
"Grammarly","26"
"Boehringer Ingelheim","25"
"AUTO1 Group","25"
"Merck","25"
"GEICO","25"
"Honeywell","25"
"Syneos Health - USA","25"
"GSK","25"
"Vanguard","25"
"Careem","25"
